Family,Species,Sex,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Ctenidae,Amauropelma hasenpuchi,M,4.5,2.5,1.1,2.5,1.25,1.35,0.35,1.65,NA,NA,NA,0.4,0.95,1.65,0.7,NA,0.45,1,1.5,0.35,NA,NA,0.65,1.15,1
Nemesiidae,Aname earthwatchorum,M,4.85,2.75,2,2.1,1.65,2.25,1.1,1.7,1.9,1.15,1.95,0.85,1.4,1.45,1.05,1.6,0.95,0.95,1.25,0.75,2.4,0.9,1.95,1.9,0.85
Araneidae,Araneus dimidiatus,M,4.2,2.2,1.65,2,1.7,2.25,0.75,1.85,1.75,0.75,2.5,1,2.5,2.25,0.95,1.4,0.5,0.75,0.8,0.5,1.6,0.5,1.45,1.35,0.85
Lycosidae,Artoria berenice,F,4.4,2.45,1.55,1.95,1.575,1.45,0.6,1.075,1.2,1,1.35,0.65,1.05,1.1,0.55,1.35,0.55,0.85,1.4,0.75,1.75,0.65,1.4,1.7,1.05
Lycosidae,Artoria lineata,M,3.7,2.05,1.3,1.65,1.05,1.2,0.55,1.1,1.05,0.65,1.15,0.55,0.95,0.8,0.65,1.05,0.55,0.75,1.15,0.5,2,0.7,1.4,1.5,0.8
Lycosidae,Artoria quadrata,M,3.45,1.7,1.15,1.75,1.05,1.2,0.5,0.95,0.85,0.5,1.3,0.4,0.8,0.8,0.35,1,0.5,0.6,0.7,0.35,1.35,0.525,1.05,1.45,0.6
Idiopidae,Cataxia spinipectoris,F,16.5,9.2,6.5,7.3,4.5,6.3,3.3,4.3,3.3,1.7,5.5,2,4,2.8,1.8,3.9,2.5,3.2,2.3,1.5,6.3,3.3,4.7,4.2,2.5
Dipluridae,Cehtegus robustus,F,14.6,6.5,4.5,8.1,6.8,NA,NA,NA,NA,NA,4.8,2.8,2.8,3.25,2,4.5,2.6,3.1,3.6,1.7,4.7,3,3.8,3.5,2.1
Lamponidae,Centrothele fisher,M,8,3.2,2.5,4.8,2.9,2.5,1.025,2.3,1.525,1.5,2.7,0.9,2.05,1.7,1.4,2.65,0.85,1.675,2.05,1.2,3.15,1.2,2.55,3.25,1.4
Trochanteridae,Desognaphosa bartle,F,6.75,2.5,2.55,4.25,2.5,1.6,1.25,1.9,1.7,0.85,1.75,1.1,1.7,1.65,0.85,1.55,1.05,1.2,1.25,0.65,1.6,1.2,1.95,2.35,1.2
