Family,Species,Sex,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Hexathelidae,Hadronyche formidabilis,M,25.25,12.25,10.2,16,8.85,8.9,3.05,6.95,7.5,5.15,9.8,4.05,6.1,7.4,4.75,7,NA,7,8.05,5,NA,NA,5.3,5.75,4
Hexathelidae,Paraembolides tubrabucca,M,11.4,6.4,4.85,5,3.35,2.6,0.95,4.25,5.35,3.15,2.9,1.35,3.25,2.9,2.65,3.2,1.05,3.05,3.25,2.8,4,2.05,3.25,6.05,2.05
Lamponidae,Longepi boyd,F,5.1,2.025,1.375,2.625,2,0.775,0.6,0.8,0.75,0.3,1.2,0.475,0.775,0.675,0.45,0.8,0.475,0.75,0.575,0.475,1.375,0.8,1.1,1.325,0.625
Lamponidae,Lamponicta cobon,F,8,2.65,1.6,4.45,2.3,1.225,0.7,1.375,1,0.55,1.3,0.875,1.15,0.65,0.4,1.05,0.6,0.775,0.5,0.4,1.425,0.65,1.2,0.925,0.425
Lamponidae,Lamponoides cootha,M,4.625,2.025,1.475,2.3,1.3,1.275,0.65,0.875,0.425,0.5,1.125,0.425,0.95,0.525,0.4,0.9,0.5,0.75,NA,0.25,1.25,0.55,1.05,0.925,0.525
Lamponidae,Lampona allyn,M,4.725,2.35,1.625,2.325,1.45,1.35,0.65,1.05,0.675,0.5,1.075,0.725,0.9,NA,0.375,0.75,0.475,0.625,0.775,NA,1.375,0.525,1,1.025,0.475
Lamponidae,Graycassis chichester,M,4.7,2.15,1.3,2.05,1.275,1.225,0.575,1.275,0.8,0.65,1.15,0.55,1.125,0.9,0.825,1.025,0.45,0.8,0.975,0.6,1.5,0.55,1.275,1.55,0.6
Lamponidae,Graycassis barrington,M,6.675,3.2,2.05,3.475,2,1.6,1.175,2,1.475,1.2,1.85,1.15,1.925,1.45,1.025,1.525,0.975,1.45,0.775,0.625,3.075,1.025,2.325,2.65,1.275
Lamponidae,Centroina macedon,M,5.475,2.5,1.75,2.975,1.375,NA,NA,NA,NA,NA,1.9,0.675,1.625,1.425,0.95,1.675,0.7,1.275,1.475,0.85,2,0.775,1.9,1.625,0.8
Mimetidae,Australomimetus pseudomaculosus,M,4.475,2,1.85,2.475,1.975,3.675,0.875,3.375,3.35,1.575,2.5,0.525,1.825,1.575,1.05,2.275,0.55,1.6,1.175,0.85,3.15,0.6,2.375,2.45,1.15
Mimetidae,Australomimetus tasmaniensis,M,3.275,1.9,1.475,1.375,1.3,2.05,0.575,2.075,2.15,1.05,1.5,0.55,1.35,1.5,0.825,1,0.35,1.2,0.675,0.275,1.425,0.475,2.025,1.475,0.875
