Family,Species,Sex,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Lamponidae,Prionosternum nitidiceps,M,NA,1.825,1.375,NA,NA,1.125,0.4,0.95,0.55,0.425,NA,NA,NA,NA,NA,0.875,0.275,0.625,0.5,0.375,0.675,0.625,1.05,0.875,0.5
Lamponidae,Paralampona domain,F,1.923076923,0.769230769,0.461538462,1.153846154,0.630769231,0.384615385,0.153846154,0.323076923,0.230769231,0.261538462,0.338461538,0.138461538,0.230769231,0.169230769,0.184615385,NA,0.153846154,0.230769231,0.169230769,0.169230769,0.230769231,0.138461538,0.369230769,0.276923077,0.169230769
Lamponidae,Paralampona sherlock,F,1.415384615,0.692307692,0.461538462,0.723076923,0.476923077,0.338461538,0.107692308,0.184615385,0.169230769,0.215384615,0.246153846,0.092307692,0.153846154,0.138461538,0.169230769,0.246153846,0.092307692,0.307692308,NA,NA,0.338461538,0.169230769,0.307692308,0.153846154,NA
Lamponidae,Lamponella beaury,F,4.75,2.25,1.45,2.5,1.75,1.05,0.625,0.975,0.625,0.325,0.925,0.525,0.675,0.425,NA,0.55,0.35,0.5,0.55,0.375,1.125,0.375,1,NA,NA
Hexathelidae,Paraembolides tubrabucca,M,12.3,6.75,4.2,5.55,4.05,4.7,1.75,3.45,3.55,2.45,4.55,1.6,3,3.45,1.25,4.25,1.6,3.1,4.7,3.1,4.1,2.35,4.3,NA,NA
Gradungulidae,Tarlina smithersi,M,8.05,4.6,3.6,3.45,2.65,5.1,1.5,4.8,4.7,1.65,4.8,1.3,3.95,3.65,1.45,4.05,1.6,3.1,2.15,1.35,5,1.35,4.6,4.25,1.25
Lamponidae,Graycassis bruxner,M,NA,2.375,1.95,NA,NA,1.25,0.725,1.425,1.15,0.8,1.55,0.775,1.375,1.15,0.75,1,0.725,1.125,1.05,0.7,1.8,NA,NA,NA,NA
Lamponidae,Asadipus longforest,M,4.2,1.9,1.625,2.3,1.775,1.175,NA,0.675,0.5,NA,1.05,0.25,0.625,0.625,0.4,1.25,0.25,0.725,0.55,0.45,1.25,0.275,1.025,1.25,0.55
Lamponidae,Asadipus kunderang,M,5.775,2.7,2.125,3.075,2.625,1.65,0.325,0.875,0.975,0.625,1.5,0.375,0.95,0.75,0.675,1.225,0.3,0.925,0.625,NA,NA,NA,NA,1.5,0.75
Gallieniiellidae,Oreo renmark,F,3.35,1.4,1,1.95,1.1,1.05,0.375,1.025,0.625,0.45,0.575,NA,NA,0.575,0.375,0.625,0.2,0.75,0.8,0.575,1.25,0.375,1.325,1.225,0.825
