Family,Species,Sex,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Microstigmatidae,Parvomygale distincta,M,2.49952,1.23808,1.00448,1.26144,0.67744,0.91104,0.37376,0.51392,NA,NA,0.63072,0.37376,0.3504,0.37376,0.32704,0.4672,0.2336,0.37376,0.49056,0.42048,0.65408,0.25696,0.56064,0.88768,0.56064
Dipluridae,Masteria sexoculata,M,2.4,1.3,1,1.1,0.88,1,0.6,0.75,0.65,0.5,0.8,NA,NA,NA,NA,0.75,NA,0.55,NA,NA,NA,0.3,0.75,NA,NA
Oonopidae,Stenoonops incertus,M,1,0.5,0.4,0.5,0.333333,0.3,0.15,0.2,0.15,0.9,0.2407405,NA,NA,NA,NA,0.2407405,NA,NA,NA,0.2777775,0.3148145,NA,0.21,NA,NA
Pholcidae,Mosdisimus calcar,M,1.9,0.75,0.8,1.15,0.814284,NA,NA,NA,NA,NA,3.6,0.29,3,5,NA,2.85,0.27,2.35,3.55,0.8,3.1,0.19,2.8,4.7,0.8
Pholcidae,Mosdisimus calcaroides,M,1.8,0.8,NA,1,NA,5.1,0.34284,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0.2,2.65,4.3,0.6,NA,NA,NA,NA,NA
Pholcidae,Mosdisimus tuberosus,M,1.5,0.65,NA,0.85,NA,4.2,0.25,4.2,6.4,1,2.64435,0.388875,2.099925,NA,NA,2.4,0.3111,2.411025,NA,NA,2.9,NA,NA,NA,NA
Pholcidae,Pholcophora brevipes,M,1.15,0.57,0.52,0.58,0.54,0.85,0.19,0.77,0.8,0.32,NA,NA,0.54,0.63,0.33,0.66,0.12,0.39,NA,NA,0.72,0.21,0.69,0.84,NA
Pholcidae,Pholcophora longicornis,M,1.6,0.8,0.53336,0.8,0.80004,1.2,0.23,1.1,1.1,0.4,0.900045,NA,NA,NA,NA,1.06672,NA,NA,NA,NA,0.86671,0.13334,1.1,1.25,NA
Pholcidae,Serratochorus pygmaeus,M,1.05,0.5,0.47,0.55,0.49995,0.68,0.15,0.64,0.75,0.32,0.86355,0.13635,0.522675,0.5454,NA,0.7272,0.113625,0.31815,NA,NA,0.909,0.113625,0.568125,NA,NA
Hersiliidae,Prototama minor,F,4.87693,1.60138,1.4558,3.27555,3.42113,2.47486,0.50953,2.32928,2.69323,NA,2.03812,0.58232,2.11091,NA,NA,NA,NA,NA,NA,NA,1.89254,0.58232,1.74696,2.62044,0.43674
Oecibiidae,Oecibus piliformis,M,1.5,0.6999999,0.8,0.8,0.736842,0.75,0.2,0.55,0.58,0.48,0.9210525,0.2210526,0.8105262,0.8473683,NA,0.7736841,0.2210526,0.736842,0.8105262,NA,0.8842104,0.2578947,0.6631578,NA,NA
Tetragnathidae,Cyrtognatha weitschati,M,4.3,1.3,1.1,3.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.45,NA,NA,NA
Tetragnathidae,Azilia hispaniolensis,M,2.5,1.3,NA,1.2,NA,2.6,0.9,2.6,2.8,2,NA,NA,2.75,NA,NA,NA,NA,0.9,NA,NA,NA,NA,1.85,2.2,0.68
Araneidae,Araneometa herrlingi,M,2.2,1,0.9,1.2,NA,1.25,0.6,1.05,1,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
Linyphiidae,Custodela lamellata,M,1.6,0.8,NA,0.8,NA,1.03,0.27,1.07,1.12,0.76,0.995715,0.240345,0.89271,1.064385,1.64808,0.75537,NA,0.721035,1.270395,NA,0.8,0.22,NA,NA,NA
Theridiidae,Faiditus crassipatellaris,M,3.7,1.5,0.85,2.2,NA,3.3,0.4,2.8,2.8,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.85,0.52
Theridiidae,Spintharus longisoma,F,2.6,0.8,0.7,1.8,0.99047,1.6,0.5,1,1.5,0.5,1.21904,0.419045,0.68571,NA,NA,1.866655,0.45714,0.37,NA,NA,1.561895,0.38095,0.95,1.90475,0.7619
Theridiidae,Chrysso dubia,M,1.7,0.7,0.55,1,0.56875,1.65,0.27,1.23,1.26,0.5,1.26875,0.21875,0.72,NA,NA,0.6125,NA,0.37,NA,NA,NA,NA,NA,NA,NA
Theridiidae,Stemmops prominens,M,1.4,0.62,0.55,0.78,0.593043,0.65,0.25,0.5,0.43,0.35,0.377391,0.107826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485217,NA,NA
Theridiidae,Stemmops incertus,M,1.2,0.57,0.44,0.63,0.475,0.5,0.2,0.4,0.33,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theridiidae,Styposis pholcoides,F,1.45,0.6,0.4,0.85,1.14999,1.15,0.27,1,0.9,0.4,0.7091605,NA,0.613328,0.536662,0.344997,0.5558285,NA,0.32,NA,NA,0.804993,NA,0.35,NA,NA
Theridiidae,Theridion wunderlichi,M,1.95,1,0.875,0.95,NA,2.3,0.5,1.85,1.85,NA,NA,NA,NA,NA,NA,0.88888,0.277775,1.055545,NA,NA,1.277765,0.22222,0.55,NA,NA
Theridiidae,Cornutiodion elongatum,M,2,0.9,NA,1.1,NA,1.25,0.35,1.45,1.45,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Theridiidae,Chrosiothes curvispinosus,M,1.8,0.8,0.746669,0.960003,0.640002,1.4,0.45,1.2,1.15,0.45,1.0133365,0.213334,0.4800015,NA,NA,0.853336,0.106667,0.426668,NA,NA,1.173337,NA,0.67,NA,NA
Mimetidae,Mimetus bituberculatus,M,2.11429029,0.8727,0.8727,1.352685,0.78543,1.876305,0.392715,NA,NA,NA,1.65813,0.34908,1.30905,NA,NA,0.8727,0.17454,1.003605,NA,NA,0.8727,1.30905,0.95,NA,NA
Dictynidae,Succinyna pulcher,M,1.65,0.7,0.6,0.95,0.6631578,NA,0.29,0.58,0.49,0.25,NA,0.1105263,NA,NA,NA,NA,0.09210525,NA,NA,NA,NA,0.16578945,0.43105257,NA,NA
Dictynidae,Hispaniolyna magna,M,3.1,1.65,1.5,1.45,1.18356,1.5,0.6,1.5,1.2,0.65,0.73268,0.45088,0.67632,0.45088,NA,0.90176,0.2818,0.73268,0.8454,NA,1.07084,0.33816,0.39,NA,NA
Ctenidae,Nanoctenus longipes,M,2.2,1.1,0.97,1.1,NA,1.35,0.45,1.25,1.25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.4,1.261845,1.520685,0.6471
Myrmeciidae,Corinna flagelliformis,M,4.5,2,1.7,2.5,NA,2,0.65,1.9,1.8,1.15,2.206896,0.551724,1.793103,1.7241375,1.103448,2.206896,0.551724,2.068965,1.793103,0.827586,1.793103,NA,1.25,1.45,0.75
Myrmeciidae,Veterator angustus,M,3.9,1.7,1.45,2.2,0.8206898,1.7,0.8,1.5,1.4,0.6,1.2896554,0.586207,1.1137933,0.9379312,0.6448277,1.4068968,0.4103449,0.9379312,0.7034484,0.8206898,1.8,0.75,2.1,NA,NA
Myrmeciidae,Veterator ascutum,M,3.3,1.35,1.17,1.95,0.8485719,1.04142915,0.5400003,0.85,0.8,0.45,1.11857205,0.6171432,0.9257148,1.0028577,0.5400003,NA,0.4628574,0.771429,NA,NA,NA,0.42428595,1.6,1.6,0.75
Myrmeciidae,Chemmisomma dubia,M,2.8,1.2,0.8,1.6,0.68568,0.62854,0.39998,0.65711,0.37141,0.45712,0.74282,0.37141,0.71425,NA,NA,0.8571,0.25713,0.5714,0.528545,0.37141,0.54283,0.34284,1.1,0.68568,NA
Anyphaenidae,Wulfila spinipes,M,5.2,2.3,NA,2.9,NA,NA,NA,NA,NA,NA,2.45,1,2.6,2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anyphaenidae,Lupettiana ligula,M,4.8,2.1,1.5,2.7,NA,1.9,0.8,2.1,1.6,0.85,NA,0.61071435,1.6,1.83214305,NA,1.9000002,NA,NA,NA,NA,2.8500003,0.9500001,2.3,3,0.85
Clubionidae,Elaver nutua,M,5,2.1,1.65,2.9,1.08892,1.96,0.8,1.9,1.35,0.7,1.5556,0.46668,2.64452,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA
Clubionidae,Strotarchus heidti,M,5.5,2.6,2,2.9,NA,2.2,0.7,1.95,1.85,0.95,2.85,1,2.5,2.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salticidae,Lyssomanes pulcher,M,3,1.4,1.05,1.6,NA,1.5,0.55,1.4,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.38,NA,NA,NA
Salticidae,Corythalia ocululiter,M,2.7,1.5,1,1.6,NA,0.75,0.43,0.47,0.4,0.29,1.5,NA,NA,NA,NA,0.9,0.4,0.55,NA,NA,0.95,0.43,1.1,1.35,0.35
